Symbol,Date,Value
44e2cb4caa1616d61743847885,2024-12-24 07:00:00,0.677
44e2cb4caa1616d61743847885,2024-12-24 08:00:00,1.3
44e2cb4caa1616d61743847885,2024-12-24 09:00:00,1.41
44e2cb4caa1616d61743847885,2024-12-24 10:00:00,0.403
44e2cb4caa1616d61743847885,2024-12-24 11:00:00,2.547
44e2cb4caa1616d61743847885,2024-12-24 12:00:00,1.476
44e2cb4caa1616d61743847885,2024-12-24 13:00:00,0.986
44e2cb4caa1616d61743847885,2024-12-24 14:00:00,2.955
44e2cb4caa1616d61743847885,2024-12-24 15:00:00,4.861
44e2cb4caa1616d61743847885,2024-12-24 16:00:00,3.294
44e2cb4caa1616d61743847885,2024-12-24 17:00:00,1.471
44e2cb4caa1616d61743847885,2024-12-24 18:00:00,3.106
44e2cb4caa1616d61743847885,2024-12-24 19:00:00,0.96
44e2cb4caa1616d61743847885,2024-12-24 20:00:00,1.669
44e2cb4caa1616d61743847885,2024-12-24 21:00:00,1.601
